CRASH_DATE,count
2021-12-04,278
2021-12-05,255
2021-12-06,345
2021-12-07,321
2021-12-08,287
2021-12-09,283
2021-12-10,301
2021-12-11,307
2021-12-12,266
2021-12-13,302
2021-12-14,322
2021-12-15,285
2021-12-16,317
2021-12-17,305
2021-12-18,331
2021-12-19,291
2021-12-20,292
2021-12-21,256
2021-12-22,278
2021-12-23,302
2021-12-24,281
2021-12-25,189
2021-12-26,186
2021-12-27,207
2021-12-28,221
2021-12-29,192
2021-12-30,223
2021-12-31,232
2022-01-01,283
2022-01-02,181
2022-01-03,208
2022-01-04,255
2022-01-05,306
2022-01-06,233
2022-01-07,296
2022-01-08,236
2022-01-09,234
2022-01-10,265
2022-01-11,257
2022-01-12,250
2022-01-13,268
2022-01-14,289
2022-01-15,236
2022-01-16,266
2022-01-17,203
2022-01-18,258
2022-01-19,255
2022-01-20,246
2022-01-21,288
2022-01-22,267
2022-01-23,229
2022-01-24,238
2022-01-25,235
2022-01-26,266
2022-01-27,272
2022-01-28,283
2022-01-29,276
2022-01-30,224
2022-01-31,312
2022-02-01,274
2022-02-02,268
2022-02-03,248
2022-02-04,288
2022-02-05,295
2022-02-06,270
2022-02-07,276
2022-02-08,279
2022-02-09,272
2022-02-10,302
2022-02-11,319
2022-02-12,237
2022-02-13,229
2022-02-14,305
2022-02-15,289
2022-02-16,278
2022-02-17,267
2022-02-18,279
2022-02-19,237
2022-02-20,245
2022-02-21,194
2022-02-22,244
2022-02-23,253
2022-02-24,222
2022-02-25,251
2022-02-26,247
2022-02-27,244
2022-02-28,278
2022-03-01,248
2022-03-02,246
2022-03-03,318
2022-03-04,328
2022-03-05,259
2022-03-06,237
2022-03-07,329
2022-03-08,259
2022-03-09,286
2022-03-10,268
2022-03-11,329
2022-03-12,253
2022-03-13,274
2022-03-14,311
2022-03-15,295
2022-03-16,311
2022-03-17,279
2022-03-18,362
2022-03-19,287
2022-03-20,259
2022-03-21,292
2022-03-22,290
2022-03-23,271
2022-03-24,266
2022-03-25,307
2022-03-26,288
2022-03-27,267
2022-03-28,299
2022-03-29,272
2022-03-30,285
2022-03-31,281
2022-04-01,290
2022-04-02,277
2022-04-03,258
2022-04-04,289
2022-04-05,252
2022-04-06,253
2022-04-07,282
2022-04-08,343
2022-04-09,293
2022-04-10,285
2022-04-11,283
2022-04-12,312
2022-04-13,296
2022-04-14,331
2022-04-15,292
2022-04-16,282
2022-04-17,241
2022-04-18,239
2022-04-19,256
2022-04-20,282
2022-04-21,237
2022-04-22,276
2022-04-23,284
2022-04-24,270
2022-04-25,254
2022-04-26,244
2022-04-27,314
2022-04-28,348
2022-04-29,361
2022-04-30,321
2022-05-01,278
2022-05-02,282
2022-05-03,282
2022-05-04,251
2022-05-05,351
2022-05-06,365
2022-05-07,293
2022-05-08,260
2022-05-09,295
2022-05-10,296
2022-05-11,300
2022-05-12,308
2022-05-13,332
2022-05-14,277
2022-05-15,306
2022-05-16,298
2022-05-17,315
2022-05-18,336
2022-05-19,321
2022-05-20,323
2022-05-21,349
2022-05-22,319
2022-05-23,334
2022-05-24,278
2022-05-25,304
2022-05-26,309
2022-05-27,314
2022-05-28,293
2022-05-29,282
2022-05-30,255
2022-05-31,354
2022-06-01,312
2022-06-02,316
2022-06-03,319
2022-06-04,300
2022-06-05,299
2022-06-06,311
2022-06-07,307
2022-06-08,311
2022-06-09,317
2022-06-10,366
2022-06-11,306
2022-06-12,274
2022-06-13,319
2022-06-14,314
2022-06-15,361
2022-06-16,302
2022-06-17,369
2022-06-18,317
2022-06-19,305
2022-06-20,281
2022-06-21,317
2022-06-22,265
2022-06-23,298
2022-06-24,354
2022-06-25,364
2022-06-26,343
2022-06-27,303
2022-06-28,295
2022-06-29,304
2022-06-30,322
2022-07-01,316
2022-07-02,276
2022-07-03,250
2022-07-04,255
2022-07-05,282
2022-07-06,290
2022-07-07,285
2022-07-08,295
2022-07-09,259
2022-07-10,250
2022-07-11,278
2022-07-12,267
2022-07-13,307
2022-07-14,269
2022-07-15,312
2022-07-16,276
2022-07-17,281
2022-07-18,302
2022-07-19,291
2022-07-20,290
2022-07-21,295
2022-07-22,333
2022-07-23,305
2022-07-24,265
2022-07-25,279
2022-07-26,276
2022-07-27,286
2022-07-28,297
2022-07-29,310
2022-07-30,306
2022-07-31,287
2022-08-01,294
2022-08-02,293
2022-08-03,324
2022-08-04,299
2022-08-05,323
2022-08-06,313
2022-08-07,267
2022-08-08,318
2022-08-09,283
2022-08-10,262
2022-08-11,287
2022-08-12,351
2022-08-13,307
2022-08-14,305
2022-08-15,241
2022-08-16,291
2022-08-17,261
2022-08-18,283
2022-08-19,286
2022-08-20,309
2022-08-21,272
2022-08-22,249
2022-08-23,273
2022-08-24,231
2022-08-25,277
2022-08-26,297
2022-08-27,306
2022-08-28,284
2022-08-29,259
2022-08-30,283
2022-08-31,293
2022-09-01,302
2022-09-02,289
2022-09-03,298
2022-09-04,250
2022-09-05,254
2022-09-06,339
2022-09-07,261
2022-09-08,301
2022-09-09,364
2022-09-10,272
2022-09-11,260
2022-09-12,314
2022-09-13,325
2022-09-14,308
2022-09-15,330
2022-09-16,349
2022-09-17,262
2022-09-18,295
2022-09-19,293
2022-09-20,288
2022-09-21,335
2022-09-22,279
2022-09-23,322
2022-09-24,287
2022-09-25,284
2022-09-26,260
2022-09-27,228
2022-09-28,284
2022-09-29,314
2022-09-30,328
2022-10-01,327
2022-10-02,246
2022-10-03,324
2022-10-04,269
2022-10-05,244
2022-10-06,336
2022-10-07,322
2022-10-08,305
2022-10-09,243
2022-10-10,216
2022-10-11,278
2022-10-12,314
2022-10-13,303
2022-10-14,347
2022-10-15,274
2022-10-16,248
2022-10-17,262
2022-10-18,249
2022-10-19,286
2022-10-20,298
2022-10-21,335
2022-10-22,326
2022-10-23,240
2022-10-24,295
2022-10-25,295
2022-10-26,265
2022-10-27,315
2022-10-28,301
2022-10-29,307
2022-10-30,290
2022-10-31,284
2022-11-01,279
2022-11-02,322
2022-11-03,318
2022-11-04,286
2022-11-05,294
2022-11-06,232
2022-11-07,279
2022-11-08,230
2022-11-09,259
2022-11-10,266
2022-11-11,310
2022-11-12,269
2022-11-13,237
2022-11-14,263
2022-11-15,297
2022-11-16,303
2022-11-17,290
2022-11-18,284
2022-11-19,318
2022-11-20,247
2022-11-21,305
2022-11-22,305
2022-11-23,297
2022-11-24,191
2022-11-25,232
2022-11-26,247
2022-11-27,237
2022-11-28,252
2022-11-29,240
2022-11-30,279
2022-12-01,291
2022-12-02,298
2022-12-03,279
2022-12-04,253
2022-12-05,269
2022-12-06,315
2022-12-07,298
2022-12-08,286
2022-12-09,304
2022-12-10,253
2022-12-11,231
2022-12-12,280
2022-12-13,301
2022-12-14,259
2022-12-15,334
2022-12-16,373
2022-12-17,278
2022-12-18,240
2022-12-19,277
2022-12-20,264
2022-12-21,268
2022-12-22,288
2022-12-23,311
2022-12-24,267
2022-12-25,180
2022-12-26,189
2022-12-27,212
2022-12-28,221
2022-12-29,203
2022-12-30,298
2022-12-31,245
2023-01-01,273
2023-01-02,201
2023-01-03,217
2023-01-04,249
2023-01-05,231
2023-01-06,232
2023-01-07,176
2023-01-08,187
2023-01-09,235
2023-01-10,251
2023-01-11,216
2023-01-12,277
2023-01-13,296
2023-01-14,241
2023-01-15,193
2023-01-16,216
2023-01-17,254
2023-01-18,256
2023-01-19,297
2023-01-20,235
2023-01-21,228
2023-01-22,241
2023-01-23,254
2023-01-24,234
2023-01-25,255
2023-01-26,252
2023-01-27,235
2023-01-28,255
2023-01-29,214
2023-01-30,232
2023-01-31,257
2023-02-01,256
2023-02-02,259
2023-02-03,306
2023-02-04,222
2023-02-05,207
2023-02-06,255
2023-02-07,255
2023-02-08,236
2023-02-09,237
2023-02-10,297
2023-02-11,261
2023-02-12,210
2023-02-13,263
2023-02-14,257
2023-02-15,262
2023-02-16,261
2023-02-17,276
2023-02-18,250
2023-02-19,238
2023-02-20,184
2023-02-21,224
2023-02-22,213
2023-02-23,213
2023-02-24,263
2023-02-25,238
2023-02-26,232
2023-02-27,242
2023-02-28,224
2023-03-01,308
2023-03-02,245
2023-03-03,280
2023-03-04,263
2023-03-05,263
2023-03-06,254
2023-03-07,270
2023-03-08,234
2023-03-09,292
2023-03-10,286
2023-03-11,242
2023-03-12,208
2023-03-13,314
2023-03-14,260
2023-03-15,272
2023-03-16,246
2023-03-17,273
2023-03-18,231
2023-03-19,246
2023-03-20,282
2023-03-21,240
2023-03-22,216
2023-03-23,255
2023-03-24,233
2023-03-25,218
2023-03-26,276
2023-03-27,263
2023-03-28,236
2023-03-29,265
2023-03-30,268
2023-03-31,242
2023-04-01,257
2023-04-02,221
2023-04-03,227
2023-04-04,275
2023-04-05,240
2023-04-06,188
2023-04-07,164
2023-04-08,162
2023-04-09,149
